model_id,paper_id,model_name,category,backbones,key_innovation,parameter_count,inference_time,training_time,memory_requirements,ablation_variants,category_clean,parameter_count_millions
1,1,Comparative study of Mask R-CNN with multiple transformer backbones and Mask DINO,CNN-Transformer Hybrid,Swin Transformer|ViT-base|MViTv2-tiny|Mask DINO with Swin-tiny,"First comparative evaluation of multiple state-of-the-art transformer-based architectures (Swin Transformer, ViT, MViTv2) integrated with Mask R-CNN and Mask DINO specifically for Ghaf tree instance segmentation in challenging urban and agricultural desert environments of the UAE.",,,"MViTv2-tiny: 6 hours, Swin Transformer: 10 hours, ViT-base: 17.6 hours, Mask DINO with Swin-tiny: 40 hours (all for 100,000 iterations on NVIDIA Titan RTX GPU)","Trained on NVIDIA Titan RTX GPU with 64GB RAM, batch size of 2",Mask R-CNN with Swin Transformer|Mask R-CNN with ViT-base|Mask R-CNN with MViTv2-tiny|Mask DINO with Swin-tiny,CNN-Transformer Hybrid,
2,2,Transformer,Pure Vision Transformer,Transformer,"Application of a standard Transformer encoder for time series classification of forest disturbances at the pixel level, using relative position encoding.","79,112",,,,,Pure Vision Transformer,0.079112
3,3,HTC with CB-ResNet50 backbone (best performing configuration),CNN-Transformer Hybrid,CB-ResNet50|CB-Swin-b,"Comprehensive benchmark evaluating SOTA instance segmentation networks (Cascade Mask R-CNN, HTC, Mask DINO, SAM) for ITC segmentation across diverse global datasets, with systematic comparison of proposal-based, query-based, and prompt-based approaches.",,,,,ResNet50|CB-ResNet50|CB-Swin-b,CNN-Transformer Hybrid,
4,4,Mask2Former with Swin Transformer backbone,CNN-Transformer Hybrid,Swin Transformer,"Application of Mask2Former architecture with Swin Transformer backbone for instance segmentation of individual tree crowns from Geiger Mode LiDAR-derived CHM data, utilizing masked attention to constrain attention within foreground regions and hierarchical feature extraction for fine-scale segmentation.",~47.0M (Mask2Former Swin-T estimated),,"68,750 iterations total",21 GB GPU memory (NVIDIA GRID P40-24Q),,CNN-Transformer Hybrid,47.0
5,5,EarthDial,Vision-Language Model,InternViT-300M|Phi-3-mini LLM,"First unified VLM for Earth Observation that comprehensively handles multi-spectral, multi-temporal, and multi-resolution remote sensing imagery through adaptive high-resolution processing and specialized data fusion modules, enabling diverse tasks from classification to visual grounding across multiple sensor modalities.",4B parameters (InternViT-300M + Phi-3-mini LLM),,Stage 2: 4 hours on 4x A100 80G GPUs; Stage 3: 6 hours on 4x A100 80G GPUs,4x A100 80GB GPUs used for training,,Vision-Language Model,4.0
6,6,ASCS (Adaptive Salient Channel Selection) fine-tuned Grounding-DINO,Foundation Model Adaptation,Swin-T|Grounding-DINO,"Proposes an Adaptive Salient Channel Selection (ASCS) PEFT method that adaptively selects task-specific channels based on class-wise L2 norm importance scores and incorporates a learnable bias term, enabling efficient adaptation of Grounding-DINO to tree detection and species classification with only 0.28% trainable parameters.","172M (Grounding-DINO Swin-T base, 0.28% trainable via PEFT)",,100 epochs on single NVIDIA 3090 GPU with 24GB memory,24GB GPU memory,ASCS-MLP|ASCS-Attn1|ASCS-Attn2|Channel selection + Adapter|All channels + bias term|Frozen bias|Tuned bias|K=6|K=12|K=24|K=36|α=0.5|α=1|α=2|α=3,Foundation Model Adaptation,172.0
7,7,DeepLabv3+ with ResNet and UNETR with ViT small,CNN-Transformer Hybrid,ResNet|ViT small,Comparative study evaluating generalization capacity of CNN (DeepLabv3+) versus Vision Transformer (UNETR) architectures across multiple tropical forest domains with different vegetation types and deforestation patterns to assess domain shift robustness.,,,,,,CNN-Transformer Hybrid,
8,8,SWIN Transformer for Forest Health Diagnosis,Pure Vision Transformer,Swin Transformer,"Applied hierarchical Swin Transformer with shifted window mechanism for forest health classification into four categories (Healthy, Lightly Damaged, Heavily Damaged, and Others), leveraging UAV-captured high-resolution images for scalable forest monitoring and fire risk assessment.",~29M (Swin-Tiny estimated),,50 epochs with batch size 64,"Trained on Tesla T4 GPU with 15,360 MIB storage",,Pure Vision Transformer,29.0
9,9,DenseNetBL (compared against Swin Transformer and Vision Transformer),Other,Swin Transformer|Vision Transformer|DenseNet variants with bottleneck layers,"DenseNetBL inserts small 1×1 convolutional bottleneck layers between Dense Blocks to reduce parameters while maintaining feature map dimensions, enabling fusion of multi-dimensional feature information and increasing network nonlinear expression for small-sample tree species classification.",,,30 epochs for all models,,DenseNet33|DenseNet33BL|DenseNet68|DenseNet68BL|DenseNet117|DenseNet117BL|DenseNet121|DenseNet121BL|DenseNet169|DenseNet169BL|Swin Transformer|Vision Transformer|ResNet16,Other,
10,10,DOFA-CLIP (Dynamic-One-For-All CLIP),Vision-Language Model,"ViT-Base (patch size 16, 224x224)|SoViT-400m (patch size 14, 384x384)|DOFA wavelength-aware dynamic encoder","Unified vision-language foundation model that dynamically adapts to heterogeneous EO modalities with flexible spectral configurations through a single Transformer backbone, using wavelength-aware dynamic encoding, Vision-models Enhanced Contrastive Text-image pretraining (VECT), and Modality-aware Knowledge Agglomeration (MaKA) module for modality-specific feature distillation.",ViT-Base version and SoViT-400m (Large version) - exact parameter counts not specified,,20 epochs on 8 NVIDIA A100 40GB GPUs (base) or 8 NVIDIA A100 80GB GPUs (large),"40GB GPU memory (base model), 80GB GPU memory (large model)",DOFA-CLIP-B-224|DOFA-CLIP-L-384|w/ MaKA|w/o MaKA|w/ distillation|w/o distillation|RGB only|Others (non-RGB)|Mixed data|Merged weights,Vision-Language Model,400.0
