training_id,paper_id,model_id,learning_strategy,specific_methods,foundation_model,finetuning_method,labeled_samples,annotation_level,pretraining_dataset,pretraining_method,cross_env_tested,training_environment,test_environments,generalization_summary,factors_affecting_generalization,domain_adaptation_techniques,learning_strategy_clean,labeled_samples_numeric
1,1,1,Fully Supervised,,No,,"2,770 images containing 3,890 manually annotated Ghaf tree instances",Pixel-level instance masks in COCO format with bounding boxes,ImageNet (implied from 'models were initialized with pre-trained weights' statement),Supervised classification on ImageNet,No,"Urban and agricultural regions within Fujairah and Sharjah emirates, UAE (includes Kalba and Fujairah city, approximately 25 km²)",,,Wind-induced motion blur during UAV data acquisition causing loss of structural detail|Image tiling (512×512 pixels) causing context loss at edges|Lighting conditions and intense reflections causing appearance similarity between species|Shadow position variations affecting tree appearance|Heterogeneous environment types within study area (urban vs agricultural settings)|Spectral and structural similarity between Ghaf and other tree species (especially Acacia) under certain conditions,,Fully Supervised,2770.0
2,2,2,Fully Supervised,,No,,"254,396 pixels (split into 72% train, 10% validation, 18% test)",Point annotations,No pre-training,,No,"Boreal forest of eastern Canada, province of Quebec",,,,,Fully Supervised,254.0
3,3,3,Fully Supervised,,SAM (Segment Anything Model),Zero-shot (no fine-tuning),"7,267 training images with >600,000 manually annotated ITC instance masks",Pixel-level instance masks (polygon delineations),,,Yes,"Mixed environments from 9 datasets: Canada (2.0 cm), Malaysia (10.0 cm), Panama (4.5 cm), China sites 1-3 (10.0, 2.0, 3.0 cm), America (5.0 cm), Kenya (10.0 cm), Norway (2.0-7.0 cm) - covering temperate, tropical, boreal, urban, and savanna biomes","Panama (4.5 cm)|China sites 1-3 (10.0, 2.0, 3.0 cm)|German (2.0 cm) - completely unseen|Australia (2.0 cm) - completely unseen","Model shows severe transferability challenges with dramatic performance drops on completely unseen datasets: -19.73% AP50 on Dataset 10 (German) and -36.91% AP50 on Dataset 11 (Australia) compared to mean in-distribution performance (40.98%). Dataset 11 performance (4.07% AP50) represents near-complete failure, indicating the model cannot generalize to Australian savanna woodland despite similar 2.0 cm resolution. Authors note: 'The low performance in Dataset 10 and 11 represent the improvement potential of the transferability'.","Resolution (2-10 cm GSD range)|Image quality|Forest type (deciduous, evergreen, mixed, rainforest, boreal, savanna)|Canopy density (low density performs better)|Tree crown boundary clarity|Lighting conditions (sufficient light required)|Platform and sensor differences (UAV vs satellite vs aerial)|Geographic domain shift (forest scenes similarity between training and test sites)",,Fully Supervised,7267.0
4,4,4,Fully Supervised,Semi-automated data labeling using watershed segmentation with manual refinement,No,,"5,705 annotated trees for training, 1,211 for validation, with 300 manually digitized crowns for final accuracy assessment",Pixel-level instance masks (polygon delineations of individual tree crowns),ImageNet-1k,Supervised classification on ImageNet,No,"Temperate Forest (Payette River, Crouch, Idaho)",,,Data quality and variety identified as crucial to improve model robustness,,Fully Supervised,5705.0
5,5,5,Fully Supervised,,"InternViT-300M (vision encoder), Phi-3-mini (LLM)",Progressive Fine-tuning (head then full),"11.11M instruction pairs total across 3 stages: Stage 1 (7.67M pairs - pre-training), Stage 2 (1.85M pairs - RGB/temporal supervised), Stage 3 (2.48M pairs - multi-spectral/SAR supervised)","Multi-level annotations: image-level captions, bounding boxes with attributes (category, position, size, color), pixel-level segmentation masks, question-answer pairs, region-level descriptions","Stage 1: 7.67M image-text pairs from NAIP (3.0M), Sentinel-2 (2.75M), Landsat-8 (1.67M), SkyScript (0.25M)",Supervised vision-language alignment using cross-entropy loss on image-caption pairs from multiple satellite/aerial sources,No,"Global multi-biome training using diverse datasets including NAIP (US), Sentinel-2 (global), Landsat (global), SkyScript (global), and domain-specific datasets covering temperate forests, urban areas, agroforestry, wetlands, and semi-arid regions",,,,Multi-stage progressive training|Modality-specific tokenization|Task-specific prompts,Fully Supervised,11110000.0
6,6,6,Fully Supervised,PEFT - Adaptive Salient Channel Selection (ASCS)|Channel importance scoring via L2 norm|Learnable bias term with scaling factor,Grounding-DINO,PEFT - Adapters,"300 images total, 80% (240 images) for training, 20% (60 images) for testing, containing 2,610 annotated tree crowns across 3 species","Bounding boxes (COCO format, converted from original polygon annotations)",Grounding-DINO pre-trained on large-scale natural image datasets (COCO and others),Supervised training on large-scale datasets with language-guided visual grounding,No,"Mixed temperate forest, Quebec, Canada",,,,,Fully Supervised,300.0
7,7,7,Fully Supervised,,No,,"Approximately 20% of image tiles for training patches with sliding window extraction (90% overlap, 64×64×14 patches). Patches required at least 2% deforestation pixels to be selected.",Polygon delineations (semantic segmentation masks from PRODES deforestation polygons),,,Yes,"Three training scenarios tested: RO (Open Ombrophyll Forest), PA (Dense Ombrophyll Forest), MA (Seasonal Deciduous and Semi-Deciduous Forest)",RO (Open Ombrophyll Forest)|PA (Dense Ombrophyll Forest)|MA (Seasonal Deciduous and Semi-Deciduous Forest),Both models showed substantial performance degradation in cross-domain scenarios. Highest cross-domain accuracies obtained when models trained on MA and tested on PA. Classifiers trained on RO generalize worse when tested on PA or MA domains. DeepLabv3+ showed better cross-domain generalization than UNETR in most scenarios (7 out of 9 cross-domain combinations). Average cross-domain performance drops substantially from in-domain performance for both architectures.,"Forest complexity differences (lowest in PA, highest in MA)|Deforestation pattern variability (highest in PA, lowest in MA)|Canopy density differences (Open Ombrophyll vs Dense Ombrophyll vs Seasonal Deciduous/Semi-Deciduous)|Change pattern representativeness in training domains|Spectral signature variations across biomes",,Fully Supervised,20.0
8,8,8,Fully Supervised,GAN-based data augmentation|Image standardization|Rotation|Horizontal and vertical flipping|Zooming and scaling|Brightness adjustment,No,,"36,018 annotated samples (80% of 45,023 total)","Bounding boxes with health category labels (Healthy, Lightly Damaged, Heavily Damaged, Others)",ImageNet-21k,Supervised classification on ImageNet,No,Single forest location (specific location not stated),,,Variable lighting conditions|Dense canopy cover|Training data quality and diversity,,Fully Supervised,36.0
9,9,9,Fully Supervised,"Data augmentation: random cropping|Random vertical and horizontal flipping|Gamma transform for brightness adjustment|HSV (Hue, Saturation, Value) conversion with adaptive thresholding",No,,"609 training samples (173 Ligustrum lucidum Ait, 104 Photinia beauverdiana, 132 Cupressus, 32 Osmanthus fragrans, 96 Cinnamomum camphora, 72 bare land)",Semantic segmentation masks generated via SLIC superpixel segmentation with field verification,No pre-training,,No,Langya Mountain mixed forest with two typical forests (planted forest A and forest B with natural and planted sections),,,,,Fully Supervised,609.0
10,10,10,Self-Supervised,"Multi-teacher knowledge distillation (from SigLIP, DINOv2, ViT)|Progressive weight space merging to handle data imbalance|Modality-aware layer normalization for modality-specific adaptation|Wavelength-aware prompt generation for dynamic feature modulation|Contrastive learning with pairwise sigmoid loss","SigLIP, DINOv2, ViT (used as teacher models for distillation); DOFA (Dynamic-One-For-All) as base vision encoder",PEFT - Adapters,"2,050,983 image-text pairs (weak supervision through image-text alignment, not pixel-level labels for pretraining); Evaluation only, no task-specific fine-tuning",Image-text pairs (weak supervision for contrastive learning); Evaluation uses pixel-level masks and instance labels,"SigLIP pretrained on WebLI; DINOv2-ViT-L/14; ViT-Huge (ImageNet); SoViT-400m for large version. DOFA-CLIP trained on custom GeoLangBind-2M dataset (2M image-text pairs, 6 modalities: RGB 1.75M, SAR 108K, Multispectral 111K, Hyperspectral 15K, Elevation 62K, Infrared 18K)","Vision-models Enhanced Contrastive Text-image pretraining (VECT): Combines SigLIP sigmoid loss for contrastive learning with multi-teacher knowledge distillation (L1 loss + MSE + cosine embedding loss) from SigLIP, DINOv2, and ViT vision foundation models. Total loss: L = L_siglip + α_s·L_match^siglip + α_d·L_match^dinov2 + α_v·L_match^vit",Yes,"Global training on GeoLangBind-2M covering RGB (France, global coverage), SAR (global Sentinel-1), Multispectral (global Sentinel-2), Hyperspectral (USA EnMAP), Elevation (France), Infrared (various)","Diverse evaluation datasets: AID (China), EuroSAT (Europe), fMoW (global), Million-AID (China), PatternNet (USA), RESISC45 (China), RSI-CB (China)|m-bigearthnet (Europe)|m-so2sat (global)|m-forestnet (Indonesia - Landsat-8, unseen sensor)","Model demonstrates strong zero-shot generalization to completely unseen datasets and sensors (e.g., Landsat-8 when trained only on Sentinel-2 and EnMAP). Performance on unseen modalities (5-band inputs) shows capability to handle flexible spectral configurations. Cross-geographic generalization validated across Chinese, European, USA, and global datasets with consistent state-of-the-art performance.",Data imbalance across modalities (RGB-dominant training data reduces performance on non-RGB tasks)|Spectral configuration differences (5-band performance lower than RGB due to less training data)|Sensor type shifts (unseen sensors like Landsat-8 still achievable but with performance gap)|Task complexity (multi-label classification more challenging than single-label)|Semantic similarity between training and test classes,"Progressive weight merging (merge SigLIP + DOFA-RGB, then merge with DOFA-Others)|Multi-teacher knowledge distillation from vision foundation models (SigLIP, DINOv2, ViT)|Modality-aware Knowledge Agglomeration (MaKA) for modality-specific adaptation",Fully Supervised,2050983.0
